Date,Task,Category,Quantity,Hours
2026-05-02,SP Poster For Next Month May 07-08 Posters,Poster,1,1.25
2026-05-02,Design ទិវាពលកម្មអន្តរជាតិ / វិសាខបូជា Poster,Festival Poster,1,1.25
2026-05-02,Floor Tile,Poster,1,1.25
2026-05-09,Jotashield Colour Extreme,Poster,1,3.75
2026-05-09,Majestic Series,Poster,1,3.75
